seed,teacher,model_auc,model_ap,teacher_lat_s,surrogate_lat_s,surrogate_train_s,speedup,eff_gap_teacher,eff_gap_surrogate,mse,r2,sign_agree,topk_overlap,kendall_tau
0,SHAP,0.9878287727811454,0.969248892187532,0.0127847599250003,4.848880000736244e-06,1.549174344999983,2636.6418478203486,7.993605777301127e-17,0.0125565568937942,0.0007644597203404,0.8704616416621778,0.493,0.7333333333333333,0.7235727549876622
0,LIME,0.9878287727811454,0.969248892187532,0.0211563958024999,6.532209999932092e-06,1.813539485000092,3238.780719346108,,,0.0016670445205622,0.8546315694764555,0.7645,0.88,0.5636842105263158
1,SHAP,0.9845132772791788,0.9598882887784058,0.0138918872799996,4.863250001108099e-06,1.1033774670002003,2856.502807142212,7.549516567451065e-17,0.0147743882063408,0.0010715196534925,0.8780737680282011,0.482,0.7666666666666668,0.6676630533533118
1,LIME,0.9845132772791788,0.9598882887784058,0.0215060117524996,4.853039999943576e-06,1.802256553999996,4431.451575249667,,,0.0017916753094453,0.8213307533380372,0.747,0.6466666666666666,0.4654736842105262
2,SHAP,0.9857114448111332,0.9627448445396906,0.0130196514125003,4.444520000106422e-06,0.8141667909999342,2929.371768422375,7.882583474838611e-17,0.0131274017202837,0.0009496265146892,0.8401895678947432,0.4915,0.8433333333333334,0.6977868150097504
2,LIME,0.9857114448111332,0.9627448445396906,0.0215372035075,4.239769998548581e-06,0.8115608220000468,5079.804686309161,,,0.0018955213893197,0.836839886613028,0.747,0.8733333333333334,0.5843157894736841
3,SHAP,0.986449699576867,0.9638880705247824,0.0129939087499997,5.494649999491231e-06,1.9141979550001904,2364.829197711023,7.549516567451065e-17,0.0125390900490525,0.0008330157612876,0.8631923233674987,0.496,0.8266666666666667,0.6647711722342936
3,LIME,0.986449699576867,0.9638880705247824,0.0215474077575004,6.116389999988314e-06,1.8295155910000176,3522.8963093494026,,,0.0026467283981123,0.7385937662920181,0.732,0.7833333333333333,0.4843157894736843
4,SHAP,0.9857616594370908,0.9646254877864052,0.0131356902249996,4.920080000374583e-06,1.6684718789999806,2669.812325002755,6.88338275267597e-17,0.0127210616413521,0.0007283654833212,0.8420609164313483,0.491,0.8033333333333336,0.6959793893103643
4,LIME,0.9857616594370908,0.9646254877864052,0.0215816185475,5.802450000373938e-06,2.0611115809999774,3719.397590002367,,,0.0015411310589251,0.8241939002916217,0.74,0.7666666666666667,0.4946315789473685
5,SHAP,0.9884832256545526,0.9722974904445638,0.0137987718975,4.7868100000414414e-06,2.0929272840000976,2882.6654697764448,9.769962616701378e-17,0.016289503094145,0.000837726462375,0.8734771050944385,0.4785,0.8433333333333334,0.6622407762551528
5,LIME,0.9884832256545526,0.9722974904445638,0.0221840437950004,4.350290000729729e-06,2.0907614389998344,5099.440219221989,,,0.0016740546966793,0.862065461707898,0.7495,0.8700000000000001,0.5838947368421052
6,SHAP,0.9874935652118392,0.9669995574424444,0.0127816967299997,4.739790001622168e-06,1.7520353539998723,2696.679963801208,6.217248937900877e-17,0.0125362839693918,0.0005589287473501,0.9126358814896088,0.485,0.8400000000000002,0.7035705772477868
6,LIME,0.9874935652118392,0.9669995574424444,0.0230816356374998,4.898929998944368e-06,1.8915608249999425,4711.566738547712,,,0.002236759077546,0.8095212997149605,0.7605,0.7633333333333334,0.5634736842105263
7,SHAP,0.9874702869084152,0.9681987735057348,0.0148587409424999,4.268699999556702e-06,1.5139643259999502,3480.8585621015745,7.549516567451065e-17,0.0134064904116497,0.0007429593866116,0.8457289578950233,0.491,0.8366666666666669,0.6928465180980946
7,LIME,0.9874702869084152,0.9681987735057348,0.0234870918525001,5.383850000271196e-06,1.4529908120000528,4362.508586107909,,,0.0026382998235109,0.7856083421516451,0.734,0.7600000000000001,0.5226315789473683
8,SHAP,0.9877862067405984,0.9682371889318788,0.0136606935999998,5.034690000229602e-06,1.3861184840000078,2713.313749084223,1.0103029524088924e-16,0.0129069692252667,0.000867777173434,0.8733320397717983,0.4955,0.8833333333333333,0.6736878056845995
8,LIME,0.9877862067405984,0.9682371889318788,0.0219827681525003,5.406790000961336e-06,1.4857879670000784,4065.770660334843,,,0.0022795810301856,0.8095769711136962,0.742,0.7666666666666668,0.4551578947368421
9,SHAP,0.9835618597635192,0.961437749765114,0.0134657181675004,5.469469999752618e-06,1.905365176000032,2461.978613669967,8.43769498715119e-17,0.0108502915637956,0.0006285895930629,0.9049324555132164,0.491,0.85,0.7020041416416519
9,LIME,0.9835618597635192,0.961437749765114,0.0215737836624998,4.918289998840919e-06,1.8788570909998723,4386.439934933504,,,0.0017726624691327,0.862091740030361,0.7805,0.8033333333333335,0.5495789473684211
