seed,teacher,model_auc,model_ap,teacher_lat_s,surrogate_lat_s,surrogate_train_s,speedup,eff_gap_teacher,eff_gap_surrogate,mse,r2,sign_agree,topk_overlap,kendall_tau
5,SHAP,0.9884832256545526,0.9722974904445638,0.013798771897500046,4.7868100000414414e-06,2.0929272840000976,2882.6654697764448,9.769962616701378e-17,0.016289503094145022,0.0008377264623750725,0.8734771050944385,0.4785,0.8433333333333334,0.6622407762551528
5,LIME,0.9884832256545526,0.9722974904445638,0.022184043795000434,4.350290000729729e-06,2.0907614389998344,5099.440219221989,,,0.0016740546966793769,0.862065461707898,0.7495,0.8700000000000001,0.5838947368421052
6,SHAP,0.9874935652118393,0.9669995574424444,0.012781696729999794,4.739790001622168e-06,1.7520353539998723,2696.6799638012076,6.217248937900877e-17,0.012536283969391816,0.0005589287473501362,0.9126358814896088,0.485,0.8400000000000002,0.7035705772477868
6,LIME,0.9874935652118393,0.9669995574424444,0.023081635637499858,4.898929998944368e-06,1.8915608249999423,4711.566738547712,,,0.0022367590775460005,0.8095212997149605,0.7605,0.7633333333333334,0.5634736842105263
7,SHAP,0.9874702869084152,0.9681987735057347,0.014858740942499934,4.268699999556702e-06,1.5139643259999502,3480.8585621015745,7.549516567451065e-17,0.01340649041164971,0.0007429593866116757,0.8457289578950233,0.491,0.8366666666666669,0.6928465180980946
7,LIME,0.9874702869084152,0.9681987735057347,0.023487091852500155,5.3838500002711955e-06,1.4529908120000528,4362.508586107909,,,0.0026382998235109376,0.7856083421516451,0.734,0.7600000000000001,0.5226315789473683
8,SHAP,0.9877862067405985,0.9682371889318787,0.01366069359999983,5.034690000229602e-06,1.3861184840000078,2713.313749084223,1.0103029524088925e-16,0.012906969225266773,0.0008677771734340317,0.8733320397717983,0.4955,0.8833333333333333,0.6736878056845995
8,LIME,0.9877862067405985,0.9682371889318787,0.021982768152500397,5.4067900009613364e-06,1.4857879670000784,4065.770660334843,,,0.0022795810301856545,0.8095769711136962,0.742,0.7666666666666668,0.45515789473684215
9,SHAP,0.9835618597635191,0.961437749765114,0.013465718167500427,5.4694699997526184e-06,1.905365176000032,2461.978613669967,8.43769498715119e-17,0.010850291563795626,0.0006285895930629046,0.9049324555132164,0.491,0.85,0.7020041416416519
9,LIME,0.9835618597635191,0.961437749765114,0.021573783662499863,4.918289998840919e-06,1.8788570909998725,4386.4399349335035,,,0.0017726624691327593,0.862091740030361,0.7805,0.8033333333333335,0.5495789473684211
